date,home_team,away_team,country,country_full_home,country_full_away,neutral,rank_diff,point_diff,point_increase_home,point_increase_away,score_diff,home_won,lati_cn_home,long_cn_home,lati_cn_away,long_cn_away,rest_days
1993-02-28,Niger,Botswana,Niger,Niger,Botswana,0,-58.0,13.0,15.0,2.0,1.0,1,0.0,0.0,39.936263,16.6032,14.0
1993-02-28,Togo,Angola,Togo,Togo,Angola,0,-1.0,0.0,10.0,10.0,-1.0,-1,0.0,0.0,19.822235,17.049105,14.0
1993-02-28,Zambia,Madagascar,Zambia,Zambia,Madagascar,0,-42.0,20.0,38.0,18.0,2.0,1,0.0,0.0,5.633049999999999,19.019775,14.0
1993-03-10,San Marino,Turkey,San Marino,San Marino,Turkey,0,84.0,-27.0,4.0,31.0,0.0,0,0.0,0.0,4.978614999999998,22.785545,14.0
1993-03-24,Italy,Malta,Italy,Italy,Malta,0,-71.0,38.0,57.0,19.0,5.0,1,0.0,0.0,5.934443999999999,1.8080359999999995,14.0
1993-03-24,Netherlands,San Marino,Netherlands,Netherlands,San Marino,0,-119.0,50.0,54.0,4.0,6.0,1,0.0,0.0,8.190272999999998,7.166511,14.0
1993-03-27,Austria,France,Austria,Austria,France,0,15.0,-8.0,38.0,46.0,-1.0,-1,0.0,0.0,1.2885929999999988,12.336323,14.0
1993-03-31,Denmark,Spain,Denmark,Denmark,Spain,0,-6.0,3.0,52.0,49.0,1.0,1,0.0,0.0,15.800252999999998,13.251005,14.0
1993-03-31,Hungary,Greece,Hungary,Hungary,Greece,0,5.0,-2.0,36.0,38.0,-1.0,-1,0.0,0.0,8.088286000000004,2.321007999999999,14.0
1993-03-31,Republic of Ireland,Northern Ireland,Republic of Ireland,Republic of Ireland,Northern Ireland,0,-37.0,23.0,54.0,31.0,3.0,1,0.0,0.0,1.3747900000000044,1.7515900000000002,14.0
1993-03-31,Switzerland,Portugal,Switzerland,Switzerland,Portugal,0,-21.0,13.0,51.0,38.0,0.0,0,0.0,0.0,7.418315999999997,16.451966,14.0
1993-03-31,Turkey,England,Turkey,Turkey,England,0,37.0,-24.0,31.0,55.0,-2.0,-1,0.0,0.0,13.391754999999996,36.417622,14.0
1993-03-31,Wales,Belgium,Wales,Wales,Belgium,0,11.0,-8.0,40.0,48.0,2.0,1,0.0,0.0,1.6268129999999985,8.253636,14.0
1993-04-04,El Salvador,Mexico,El Salvador,El Salvador,Mexico,0,25.0,-15.0,28.0,43.0,1.0,1,0.0,0.0,9.840316,13.656254000000004,14.0
1993-04-04,Honduras,Canada,Honduras,Honduras,Canada,0,-17.0,7.0,32.0,25.0,0.0,0,0.0,0.0,40.930367,20.104866,14.0
1993-04-08,Japan,Thailand,Japan,Japan,Thailand,0,-9.0,4.0,22.0,18.0,1.0,1,0.0,0.0,20.334792,37.260383,14.0
1993-04-09,Qatar,Indonesia,Qatar,Qatar,Indonesia,0,-56.0,18.0,27.0,9.0,2.0,1,0.0,0.0,26.144101,62.737443000000006,14.0
1993-04-11,Canada,El Salvador,Canada,Canada,El Salvador,0,7.0,-3.0,25.0,28.0,2.0,1,0.0,0.0,42.336181,17.450241000000005,14.0
1993-04-11,Japan,Bangladesh,Japan,Japan,Bangladesh,0,-67.0,19.0,22.0,3.0,8.0,1,0.0,0.0,12.519830000000002,47.89659300000001,3.0
1993-04-11,Mexico,Honduras,Mexico,Mexico,Honduras,0,-15.0,11.0,43.0,32.0,3.0,1,0.0,0.0,8.434502,16.310879,14.0
1993-04-13,United Arab Emirates,Thailand,Japan,United Arab Emirates,Thailand,1,-16.0,7.0,25.0,18.0,1.0,1,12.780748000000004,84.40510600000002,20.334792,37.260383,14.0
1993-04-14,Austria,Bulgaria,Austria,Austria,Bulgaria,0,8.0,-3.0,38.0,41.0,2.0,1,0.0,0.0,4.782347999999999,10.935758,14.0
1993-04-14,Denmark,Latvia,Denmark,Denmark,Latvia,0,-90.0,42.0,52.0,10.0,2.0,1,0.0,0.0,0.6157150000000016,15.101404,14.0
1993-04-14,Italy,Estonia,Italy,Italy,Estonia,0,-130.0,54.0,57.0,3.0,2.0,1,0.0,0.0,16.723332,12.446227,14.0
1993-04-14,Lithuania,Albania,Lithuania,Lithuania,Albania,0,7.0,-2.0,12.0,14.0,2.0,1,0.0,0.0,14.016106,3.712944,14.0
1993-04-14,Luxembourg,Russia,Luxembourg,Luxembourg,Russia,0,95.0,-42.0,10.0,52.0,-4.0,-1,0.0,0.0,11.708737,99.189173,14.0
1993-04-14,Romania,Cyprus,Romania,Romania,Cyprus,0,-61.0,31.0,51.0,20.0,1.0,1,0.0,0.0,10.816748000000004,8.463099,14.0
1993-04-15,Egypt,Zimbabwe,France,Egypt,Zimbabwe,1,-33.0,18.0,45.0,27.0,0.0,0,19.407085,28.588749,65.243076,26.941108,14.0
1993-04-15,United Arab Emirates,Bangladesh,Japan,United Arab Emirates,Bangladesh,1,-74.0,22.0,25.0,3.0,1.0,1,12.780748000000004,84.40510600000002,12.519830000000002,47.89659300000001,2.0
1993-04-16,Qatar,Singapore,Qatar,Qatar,Singapore,0,-37.0,14.0,27.0,13.0,3.0,1,0.0,0.0,24.002743,52.635952,7.0
1993-04-17,Malta,Switzerland,Malta,Malta,Switzerland,0,61.0,-32.0,19.0,51.0,-2.0,-1,0.0,0.0,10.880691999999996,6.147903999999999,14.0
1993-04-18,Cameroon,Guinea,Cameroon,Cameroon,Guinea,0,-41.0,19.0,43.0,24.0,2.0,1,0.0,0.0,2.5758649999999994,22.051367,14.0
